nurse_id,date,ward,shift,duration_hours,week,start_time,end_time
N018,2025-06-02,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N006,2025-06-02,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N004,2025-06-02,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N029,2025-06-02,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N015,2025-06-02,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N025,2025-06-02,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N005,2025-06-02,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N019,2025-06-02,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N003,2025-06-02,ICU,Night,8,23,0 days 00:00:00,0 days 08:00:00
N006,2025-06-02,ICU,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N005,2025-06-02,ICU,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N026,2025-06-02,ICU,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N006,2025-06-02,ICU,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N027,2025-06-03,A,Night,8,23,0 days 00:00:00,0 days 08:00:00
N004,2025-06-03,A,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N022,2025-06-03,A,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N019,2025-06-03,A,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N015,2025-06-03,A,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N014,2025-06-03,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N026,2025-06-03,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N028,2025-06-03,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N030,2025-06-03,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N027,2025-06-03,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N008,2025-06-03,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N019,2025-06-03,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N011,2025-06-03,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N018,2025-06-03,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N025,2025-06-03,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N027,2025-06-03,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N030,2025-06-03,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N008,2025-06-03,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N016,2025-06-03,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N011,2025-06-03,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N020,2025-06-03,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N006,2025-06-03,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N025,2025-06-03,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N030,2025-06-03,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N002,2025-06-03,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N005,2025-06-03,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N008,2025-06-03,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N019,2025-06-03,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N003,2025-06-03,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N010,2025-06-03,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N026,2025-06-03,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N022,2025-06-03,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N017,2025-06-03,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N012,2025-06-03,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N005,2025-06-03,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N013,2025-06-03,ICU,Night,8,23,0 days 00:00:00,0 days 08:00:00
N016,2025-06-03,ICU,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N013,2025-06-03,ICU,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N017,2025-06-03,ICU,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N025,2025-06-03,ICU,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N028,2025-06-04,A,Night,8,23,0 days 00:00:00,0 days 08:00:00
N018,2025-06-04,A,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N011,2025-06-04,A,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N023,2025-06-04,A,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N027,2025-06-04,A,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N018,2025-06-04,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N015,2025-06-04,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N002,2025-06-04,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N029,2025-06-04,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N002,2025-06-04,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N006,2025-06-04,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N028,2025-06-04,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N005,2025-06-04,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N021,2025-06-04,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N028,2025-06-04,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N004,2025-06-04,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N022,2025-06-04,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N024,2025-06-04,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N015,2025-06-04,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N020,2025-06-04,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N024,2025-06-04,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N010,2025-06-04,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N004,2025-06-04,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N010,2025-06-04,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N001,2025-06-04,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N006,2025-06-04,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N019,2025-06-04,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N006,2025-06-04,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N008,2025-06-04,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N015,2025-06-04,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N012,2025-06-04,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N021,2025-06-04,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N015,2025-06-04,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N007,2025-06-04,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N029,2025-06-04,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N006,2025-06-04,ICU,Night,8,23,0 days 00:00:00,0 days 08:00:00
N011,2025-06-04,ICU,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N008,2025-06-04,ICU,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N005,2025-06-04,ICU,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N001,2025-06-04,ICU,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N012,2025-06-05,A,Night,8,23,0 days 00:00:00,0 days 08:00:00
N029,2025-06-05,A,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N003,2025-06-05,A,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N017,2025-06-05,A,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N026,2025-06-05,A,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N008,2025-06-05,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N011,2025-06-05,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N025,2025-06-05,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N012,2025-06-05,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N017,2025-06-05,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N030,2025-06-05,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N021,2025-06-05,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N023,2025-06-05,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N015,2025-06-05,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N016,2025-06-05,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N006,2025-06-05,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N028,2025-06-05,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N024,2025-06-05,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N007,2025-06-05,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N012,2025-06-05,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N017,2025-06-05,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N001,2025-06-05,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N006,2025-06-05,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N017,2025-06-05,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N002,2025-06-05,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N030,2025-06-05,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N029,2025-06-05,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N016,2025-06-05,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N007,2025-06-05,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N022,2025-06-05,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N027,2025-06-05,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N026,2025-06-05,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N016,2025-06-05,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N015,2025-06-05,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N025,2025-06-05,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N017,2025-06-05,ICU,Night,8,23,0 days 00:00:00,0 days 08:00:00
N012,2025-06-05,ICU,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N018,2025-06-05,ICU,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N025,2025-06-05,ICU,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N024,2025-06-05,ICU,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N006,2025-06-06,A,Night,8,23,0 days 00:00:00,0 days 08:00:00
N001,2025-06-06,A,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N023,2025-06-06,A,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N030,2025-06-06,A,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N013,2025-06-06,A,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N015,2025-06-06,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N028,2025-06-06,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N016,2025-06-06,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N008,2025-06-06,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N012,2025-06-06,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N021,2025-06-06,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N019,2025-06-06,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N008,2025-06-06,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N025,2025-06-06,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N022,2025-06-06,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N008,2025-06-06,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N022,2025-06-06,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N023,2025-06-06,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N026,2025-06-06,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N028,2025-06-06,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N020,2025-06-06,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N008,2025-06-06,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N009,2025-06-06,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N021,2025-06-06,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N018,2025-06-06,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N029,2025-06-06,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N014,2025-06-06,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N016,2025-06-06,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N024,2025-06-06,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N017,2025-06-06,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N030,2025-06-06,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N019,2025-06-06,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N010,2025-06-06,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N029,2025-06-06,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N002,2025-06-06,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N017,2025-06-06,ICU,Night,8,23,0 days 00:00:00,0 days 08:00:00
N018,2025-06-06,ICU,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N001,2025-06-06,ICU,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N023,2025-06-06,ICU,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N024,2025-06-06,ICU,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N013,2025-06-07,A,Night,8,23,0 days 00:00:00,0 days 08:00:00
N004,2025-06-07,A,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N014,2025-06-07,A,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N022,2025-06-07,A,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N029,2025-06-07,A,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N027,2025-06-07,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N014,2025-06-07,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N027,2025-06-07,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N010,2025-06-07,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N018,2025-06-07,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N011,2025-06-07,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N017,2025-06-07,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N008,2025-06-07,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N014,2025-06-07,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N009,2025-06-07,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N003,2025-06-07,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N020,2025-06-07,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N025,2025-06-07,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N008,2025-06-07,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N001,2025-06-07,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N027,2025-06-07,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N002,2025-06-07,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N026,2025-06-07,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N007,2025-06-07,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N003,2025-06-07,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N029,2025-06-07,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N009,2025-06-07,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N026,2025-06-07,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N007,2025-06-07,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N010,2025-06-07,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N015,2025-06-07,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N001,2025-06-07,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N015,2025-06-07,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N030,2025-06-07,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N006,2025-06-07,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N007,2025-06-07,ICU,Night,8,23,0 days 00:00:00,0 days 08:00:00
N009,2025-06-07,ICU,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N026,2025-06-07,ICU,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N004,2025-06-07,ICU,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N030,2025-06-07,ICU,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N022,2025-06-08,A,Night,8,23,0 days 00:00:00,0 days 08:00:00
N026,2025-06-08,A,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N011,2025-06-08,A,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N010,2025-06-08,A,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N008,2025-06-08,A,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N003,2025-06-08,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N009,2025-06-08,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N013,2025-06-08,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N026,2025-06-08,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N005,2025-06-08,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N012,2025-06-08,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N010,2025-06-08,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N030,2025-06-08,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N001,2025-06-08,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N029,2025-06-08,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N022,2025-06-08,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N021,2025-06-08,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N001,2025-06-08,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N010,2025-06-08,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N006,2025-06-08,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N019,2025-06-08,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N001,2025-06-08,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N028,2025-06-08,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N029,2025-06-08,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N024,2025-06-08,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N006,2025-06-08,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N002,2025-06-08,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N004,2025-06-08,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N029,2025-06-08,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N019,2025-06-08,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N002,2025-06-08,C,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N002,2025-06-08,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N008,2025-06-08,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N015,2025-06-08,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N016,2025-06-08,C,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N027,2025-06-08,ICU,Night,8,23,0 days 00:00:00,0 days 08:00:00
N019,2025-06-08,ICU,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N024,2025-06-08,ICU,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N017,2025-06-08,ICU,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N029,2025-06-08,ICU,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N007,2025-06-09,A,Night,8,24,0 days 00:00:00,0 days 08:00:00
N030,2025-06-09,A,Flex1,4,24,0 days 08:00:00,0 days 12:00:00
N019,2025-06-09,A,Flex2,4,24,0 days 12:00:00,0 days 16:00:00
N006,2025-06-09,A,Flex3,4,24,0 days 16:00:00,0 days 20:00:00
N023,2025-06-09,A,Flex4,4,24,0 days 20:00:00,1 days 00:00:00
N020,2025-06-09,B,Night,8,24,0 days 00:00:00,0 days 08:00:00
N022,2025-06-09,B,Night,8,24,0 days 00:00:00,0 days 08:00:00
N013,2025-06-09,B,Flex1,4,24,0 days 08:00:00,0 days 12:00:00
N027,2025-06-09,B,Flex1,4,24,0 days 08:00:00,0 days 12:00:00
N020,2025-06-09,B,Flex2,4,24,0 days 12:00:00,0 days 16:00:00
N026,2025-06-09,B,Flex2,4,24,0 days 12:00:00,0 days 16:00:00
N005,2025-06-09,B,Flex3,4,24,0 days 16:00:00,0 days 20:00:00
N028,2025-06-09,B,Flex3,4,24,0 days 16:00:00,0 days 20:00:00
N022,2025-06-09,B,Flex4,4,24,0 days 20:00:00,1 days 00:00:00
N018,2025-06-09,B,Flex4,4,24,0 days 20:00:00,1 days 00:00:00
N001,2025-06-09,C,Night,8,24,0 days 00:00:00,0 days 08:00:00
N022,2025-06-09,C,Night,8,24,0 days 00:00:00,0 days 08:00:00
N029,2025-06-09,C,Night,8,24,0 days 00:00:00,0 days 08:00:00
N003,2025-06-09,C,Night,8,24,0 days 00:00:00,0 days 08:00:00
N014,2025-06-09,C,Flex1,4,24,0 days 08:00:00,0 days 12:00:00
N007,2025-06-09,C,Flex1,4,24,0 days 08:00:00,0 days 12:00:00
