nurse_id,date,ward,shift,duration_hours,week,start_time,end_time,label,hours_last_2wks,days_since_last_shift,consecutive_work_days,day_of_week,shift_Flex1,shift_Flex2,shift_Flex3,shift_Flex4,shift_Night,ward_A,ward_B,ward_C,ward_ICU,preferred_shift,preference_match
N014,2025-06-01,C,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,False,False,True,False,,0
N001,2025-06-01,C,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,False,False,True,False,,0
N024,2025-06-01,C,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,False,False,True,False,,0
N001,2025-06-01,C,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,False,False,True,False,,0
N007,2025-06-01,C,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,False,False,True,False,,0
N006,2025-06-01,C,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,False,False,True,False,,0
N027,2025-06-01,C,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,False,False,True,False,,0
N002,2025-06-01,C,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,False,False,True,False,,0
N022,2025-06-01,C,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,False,False,True,False,,0
N010,2025-06-01,C,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,False,False,True,False,,0
N016,2025-06-01,C,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,False,False,True,False,,0
N027,2025-06-01,C,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,False,False,True,False,,0
N022,2025-06-01,C,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,False,False,True,False,,0
N003,2025-06-01,C,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,False,False,True,False,,0
N009,2025-06-01,ICU,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,False,False,False,True,,0
N021,2025-06-01,ICU,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,False,False,False,True,,0
N018,2025-06-01,ICU,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,False,False,False,True,,0
N007,2025-06-01,ICU,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,False,False,False,True,,0
N029,2025-06-01,ICU,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,False,False,False,True,,0
N029,2025-06-02,A,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,12,1.0,1,0,False,False,False,False,True,True,False,False,False,,0
N028,2025-06-02,A,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,0,True,False,False,False,False,True,False,False,False,,0
N020,2025-06-02,A,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,0,False,True,False,False,False,True,False,False,False,,0
N005,2025-06-02,A,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,0,False,False,True,False,False,True,False,False,False,,0
N016,2025-06-02,A,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,4,1.0,1,0,False,False,False,True,False,True,False,False,False,,0
N027,2025-06-02,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,16,1.0,1,0,False,False,False,False,True,False,True,False,False,,0
N009,2025-06-02,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,16,1.0,1,0,False,False,False,False,True,False,True,False,False,,0
N025,2025-06-02,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,0,True,False,False,False,False,False,True,False,False,,0
N021,2025-06-02,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,4,1.0,1,0,True,False,False,False,False,False,True,False,False,,0
N021,2025-06-02,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,4,1.0,1,0,False,True,False,False,False,False,True,False,False,,0
N005,2025-06-02,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,0,False,True,False,False,False,False,True,False,False,,0
N003,2025-06-02,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,8,1.0,1,0,False,False,True,False,False,False,True,False,False,,0
N028,2025-06-02,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,0,False,False,True,False,False,False,True,False,False,,0
N019,2025-06-02,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,0,False,False,False,True,False,False,True,False,False,,0
N012,2025-06-02,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,0,False,False,False,True,False,False,True,False,False,,0
N021,2025-06-02,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,4,1.0,1,0,False,False,False,False,True,False,False,True,False,,0
N008,2025-06-02,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,16,1.0,1,0,False,False,False,False,True,False,False,True,False,,0
N002,2025-06-02,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,4,1.0,1,0,False,False,False,False,True,False,False,True,False,,0
N014,2025-06-02,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,8,1.0,1,0,False,False,False,False,True,False,False,True,False,,0
N014,2025-06-02,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,8,1.0,1,0,True,False,False,False,False,False,False,True,False,,0
N003,2025-06-02,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,8,1.0,1,0,True,False,False,False,False,False,False,True,False,,0
N001,2025-06-02,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,8,1.0,1,0,True,False,False,False,False,False,False,True,False,,0
N023,2025-06-02,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,0,True,False,False,False,False,False,False,True,False,,0
N007,2025-06-02,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,16,1.0,1,0,False,True,False,False,False,False,False,True,False,,0
N018,2025-06-02,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,16,1.0,1,0,False,True,False,False,False,False,False,True,False,,0
N019,2025-06-02,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,0,False,True,False,False,False,False,False,True,False,,0
N028,2025-06-02,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,0,False,True,False,False,False,False,False,True,False,,0
N018,2025-06-02,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,16,1.0,1,0,False,False,True,False,False,False,False,True,False,,0
N006,2025-06-02,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,4,1.0,1,0,False,False,True,False,False,False,False,True,False,,0
N004,2025-06-02,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,16,1.0,1,0,False,False,True,False,False,False,False,True,False,,0
N029,2025-06-02,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,12,1.0,1,0,False,False,True,False,False,False,False,True,False,,0
N015,2025-06-02,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,4,1.0,1,0,False,False,False,True,False,False,False,True,False,,0
N025,2025-06-02,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,0,False,False,False,True,False,False,False,True,False,,0
N005,2025-06-02,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,0,False,False,False,True,False,False,False,True,False,,0
N019,2025-06-02,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,0,False,False,False,True,False,False,False,True,False,,0
N003,2025-06-02,ICU,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,8,1.0,1,0,False,False,False,False,True,False,False,False,True,,0
N006,2025-06-02,ICU,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,4,1.0,1,0,True,False,False,False,False,False,False,False,True,,0
N005,2025-06-02,ICU,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,0,False,True,False,False,False,False,False,False,True,,0
N026,2025-06-02,ICU,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,0,False,False,True,False,False,False,False,False,True,,0
N006,2025-06-02,ICU,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,4,1.0,1,0,False,False,False,True,False,False,False,False,True,,0
N027,2025-06-03,A,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,24,1.0,2,1,False,False,False,False,True,True,False,False,False,,0
N004,2025-06-03,A,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,20,1.0,2,1,True,False,False,False,False,True,False,False,False,,0
N022,2025-06-03,A,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,8,2.0,0,1,False,True,False,False,False,True,False,False,False,,0
N019,2025-06-03,A,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,12,1.0,1,1,False,False,True,False,False,True,False,False,False,,0
N015,2025-06-03,A,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,8,1.0,2,1,False,False,False,True,False,True,False,False,False,,0
N014,2025-06-03,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,20,1.0,1,1,False,False,False,False,True,False,True,False,False,,0
N026,2025-06-03,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,4,1.0,1,1,False,False,False,False,True,False,True,False,False,,0
N028,2025-06-03,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,12,1.0,1,1,True,False,False,False,False,False,True,False,False,,0
N030,2025-06-03,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,4,2.0,0,1,True,False,False,False,False,False,True,False,False,,0
N027,2025-06-03,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,24,1.0,2,1,False,True,False,False,False,False,True,False,False,,0
N008,2025-06-03,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,24,1.0,2,1,False,True,False,False,False,False,True,False,False,,0
N019,2025-06-03,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,12,1.0,1,1,False,False,True,False,False,False,True,False,False,,0
N011,2025-06-03,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,4,2.0,0,1,False,False,True,False,False,False,True,False,False,,0
N018,2025-06-03,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,24,1.0,1,1,False,False,False,True,False,False,True,False,False,,0
N025,2025-06-03,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,8,1.0,1,1,False,False,False,True,False,False,True,False,False,,0
N027,2025-06-03,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,24,1.0,2,1,False,False,False,False,True,False,False,True,False,,0
N030,2025-06-03,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,4,2.0,0,1,False,False,False,False,True,False,False,True,False,,0
N008,2025-06-03,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,24,1.0,2,1,False,False,False,False,True,False,False,True,False,,0
N016,2025-06-03,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,8,1.0,2,1,False,False,False,False,True,False,False,True,False,,0
N011,2025-06-03,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,4,2.0,0,1,True,False,False,False,False,False,False,True,False,,0
N020,2025-06-03,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,4,1.0,1,1,True,False,False,False,False,False,False,True,False,,0
N006,2025-06-03,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,16,1.0,1,1,True,False,False,False,False,False,False,True,False,,0
N025,2025-06-03,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,8,1.0,1,1,True,False,False,False,False,False,False,True,False,,0
N030,2025-06-03,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,4,2.0,0,1,False,True,False,False,False,False,False,True,False,,0
N002,2025-06-03,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,12,1.0,2,1,False,True,False,False,False,False,False,True,False,,0
N005,2025-06-03,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,16,1.0,1,1,False,True,False,False,False,False,False,True,False,,0
N008,2025-06-03,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,24,1.0,2,1,False,True,False,False,False,False,False,True,False,,0
N019,2025-06-03,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,12,1.0,1,1,False,False,True,False,False,False,False,True,False,,0
N003,2025-06-03,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,24,1.0,1,1,False,False,True,False,False,False,False,True,False,,0
N010,2025-06-03,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,12,2.0,0,1,False,False,True,False,False,False,False,True,False,,0
N026,2025-06-03,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,4,1.0,1,1,False,False,True,False,False,False,False,True,False,,0
N022,2025-06-03,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,8,2.0,0,1,False,False,False,True,False,False,False,True,False,,0
N017,2025-06-03,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,8,2.0,0,1,False,False,False,True,False,False,False,True,False,,0
N012,2025-06-03,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,4,1.0,1,1,False,False,False,True,False,False,False,True,False,,0
N005,2025-06-03,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,16,1.0,1,1,False,False,False,True,False,False,False,True,False,,0
N013,2025-06-03,ICU,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,1,False,False,False,False,True,False,False,False,True,,0
N016,2025-06-03,ICU,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,8,1.0,2,1,True,False,False,False,False,False,False,False,True,,0
N013,2025-06-03,ICU,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,1,False,True,False,False,False,False,False,False,True,,0
N017,2025-06-03,ICU,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,8,2.0,0,1,False,False,True,False,False,False,False,False,True,,0
N025,2025-06-03,ICU,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,8,1.0,1,1,False,False,False,True,False,False,False,False,True,,0
N028,2025-06-04,A,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,16,1.0,2,2,False,False,False,False,True,True,False,False,False,,0
N018,2025-06-04,A,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,28,1.0,2,2,True,False,False,False,False,True,False,False,False,,0
N011,2025-06-04,A,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,12,1.0,1,2,False,True,False,False,False,True,False,False,False,,0
N023,2025-06-04,A,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,4,2.0,0,2,False,False,True,False,False,True,False,False,False,,0
N027,2025-06-04,A,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,44,1.0,1,2,False,False,False,True,False,True,False,False,False,,0
N018,2025-06-04,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,28,1.0,2,2,False,False,False,False,True,False,True,False,False,,0
N015,2025-06-04,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,12,1.0,3,2,False,False,False,False,True,False,True,False,False,,0
N002,2025-06-04,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,16,1.0,3,2,True,False,False,False,False,False,True,False,False,,0
N029,2025-06-04,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,24,2.0,0,2,True,False,False,False,False,False,True,False,False,,0
N002,2025-06-04,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,16,1.0,3,2,False,True,False,False,False,False,True,False,False,,0
N006,2025-06-04,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,20,1.0,2,2,False,True,False,False,False,False,True,False,False,,0
N028,2025-06-04,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,16,1.0,2,2,False,False,True,False,False,False,True,False,False,,0
N005,2025-06-04,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,24,1.0,1,2,False,False,True,False,False,False,True,False,False,,0
N021,2025-06-04,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,20,2.0,0,2,False,False,False,True,False,False,True,False,False,,0
N028,2025-06-04,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,16,1.0,2,2,False,False,False,True,False,False,True,False,False,,0
N004,2025-06-04,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,24,1.0,3,2,False,False,False,False,True,False,False,True,False,,0
N022,2025-06-04,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,16,1.0,1,2,False,False,False,False,True,False,False,True,False,,0
N024,2025-06-04,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,4,3.0,0,2,False,False,False,False,True,False,False,True,False,,0
N015,2025-06-04,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,12,1.0,3,2,False,False,False,False,True,False,False,True,False,,0
N020,2025-06-04,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,8,1.0,2,2,True,False,False,False,False,False,False,True,False,,0
N024,2025-06-04,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,4,3.0,0,2,True,False,False,False,False,False,False,True,False,,0
N010,2025-06-04,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,16,1.0,1,2,True,False,False,False,False,False,False,True,False,,0
N004,2025-06-04,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,24,1.0,3,2,True,False,False,False,False,False,False,True,False,,0
N010,2025-06-04,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,16,1.0,1,2,False,True,False,False,False,False,False,True,False,,0
N001,2025-06-04,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,12,2.0,0,2,False,True,False,False,False,False,False,True,False,,0
N006,2025-06-04,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,20,1.0,2,2,False,True,False,False,False,False,False,True,False,,0
N019,2025-06-04,C,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,24,1.0,1,2,False,True,False,False,False,False,False,True,False,,0
N006,2025-06-04,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,20,1.0,2,2,False,False,True,False,False,False,False,True,False,,0
N008,2025-06-04,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,40,1.0,1,2,False,False,True,False,False,False,False,True,False,,0
N015,2025-06-04,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,12,1.0,3,2,False,False,True,False,False,False,False,True,False,,0
N012,2025-06-04,C,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,8,1.0,2,2,False,False,True,False,False,False,False,True,False,,0
N021,2025-06-04,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,20,2.0,0,2,False,False,False,True,False,False,False,True,False,,0
N015,2025-06-04,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,12,1.0,3,2,False,False,False,True,False,False,False,True,False,,0
N007,2025-06-04,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,20,2.0,0,2,False,False,False,True,False,False,False,True,False,,0
N029,2025-06-04,C,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,24,2.0,0,2,False,False,False,True,False,False,False,True,False,,0
N006,2025-06-04,ICU,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,20,1.0,2,2,False,False,False,False,True,False,False,False,True,,0
N011,2025-06-04,ICU,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,12,1.0,1,2,True,False,False,False,False,False,False,False,True,,0
N008,2025-06-04,ICU,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,40,1.0,1,2,False,True,False,False,False,False,False,False,True,,0
N005,2025-06-04,ICU,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,24,1.0,1,2,False,False,True,False,False,False,False,False,True,,0
N001,2025-06-04,ICU,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,12,2.0,0,2,False,False,False,True,False,False,False,False,True,,0
N012,2025-06-05,A,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,12,1.0,3,3,False,False,False,False,True,True,False,False,False,,0
N029,2025-06-05,A,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,32,1.0,1,3,True,False,False,False,False,True,False,False,False,,0
N003,2025-06-05,A,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,28,2.0,0,3,False,True,False,False,False,True,False,False,False,,0
N017,2025-06-05,A,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,16,2.0,0,3,False,False,True,False,False,True,False,False,False,,0
N026,2025-06-05,A,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,16,2.0,0,3,False,False,False,True,False,True,False,False,False,,0
N008,2025-06-05,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,48,1.0,1,3,False,False,False,False,True,False,True,False,False,,0
N011,2025-06-05,B,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,20,1.0,1,3,False,False,False,False,True,False,True,False,False,,0
N025,2025-06-05,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,20,2.0,0,3,True,False,False,False,False,False,True,False,False,,0
N012,2025-06-05,B,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,12,1.0,3,3,True,False,False,False,False,False,True,False,False,,0
N017,2025-06-05,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,16,2.0,0,3,False,True,False,False,False,False,True,False,False,,0
N030,2025-06-05,B,Flex2,4,23.0,0 days 12:00:00,0 days 16:00:00,1,20,2.0,0,3,False,True,False,False,False,False,True,False,False,,0
N021,2025-06-05,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,28,1.0,1,3,False,False,True,False,False,False,True,False,False,,0
N023,2025-06-05,B,Flex3,4,23.0,0 days 16:00:00,0 days 20:00:00,1,8,1.0,1,3,False,False,True,False,False,False,True,False,False,,0
N015,2025-06-05,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,36,1.0,1,3,False,False,False,True,False,False,True,False,False,,0
N016,2025-06-05,B,Flex4,4,23.0,0 days 20:00:00,1 days 00:00:00,1,20,2.0,0,3,False,False,False,True,False,False,True,False,False,,0
N006,2025-06-05,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,40,1.0,1,3,False,False,False,False,True,False,False,True,False,,0
N028,2025-06-05,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,32,1.0,1,3,False,False,False,False,True,False,False,True,False,,0
N024,2025-06-05,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,16,1.0,1,3,False,False,False,False,True,False,False,True,False,,0
N007,2025-06-05,C,Night,8,23.0,0 days 00:00:00,0 days 08:00:00,1,24,1.0,1,3,False,False,False,False,True,False,False,True,False,,0
N012,2025-06-05,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,12,1.0,3,3,True,False,False,False,False,False,False,True,False,,0
N017,2025-06-05,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,16,2.0,0,3,True,False,False,False,False,False,False,True,False,,0
N001,2025-06-05,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,20,1.0,1,3,True,False,False,False,False,False,False,True,False,,0
N006,2025-06-05,C,Flex1,4,23.0,0 days 08:00:00,0 days 12:00:00,1,40,1.0,1,3,True,False,False,False,False,False,False,True,False,,0
