nurse_id,date,preferred_shift,preferred_ward,duration_hours,start_time,end_time
N004,2025-09-25,Flex4,B,7,12:00,19:00
N004,2025-09-26,Flex1,ICU,4,07:00,11:00
N004,2025-09-27,Flex1,A,4,07:00,11:00
N004,2025-09-28,Flex2,A,5,10:00,15:00
N004,2025-09-29,Flex5,A,8,07:00,15:00
N004,2025-09-30,Flex6,B,12,07:00,19:00
N004,2025-10-01,Flex2,ICU,5,10:00,15:00
N004,2025-10-02,Flex1,B,4,07:00,11:00
N004,2025-10-03,AM,ICU,8,07:00,15:00
N004,2025-10-04,Flex6,C,12,07:00,19:00
N004,2025-10-05,Flex1,B,4,07:00,11:00
N005,2025-09-08,Flex1,B,4,07:00,11:00
N005,2025-09-09,AM,B,8,07:00,15:00
N005,2025-09-10,Night,ICU,12,20:00,08:00
N005,2025-09-11,PM,A,8,15:00,23:00
N005,2025-09-12,Flex5,B,8,07:00,15:00
N005,2025-09-13,Flex2,ICU,5,10:00,15:00
N005,2025-09-14,Flex1,ICU,4,07:00,11:00
N005,2025-09-15,Flex6,A,12,07:00,19:00
N005,2025-09-16,Flex2,B,5,10:00,15:00
N005,2025-09-17,Flex1,C,4,07:00,11:00
N005,2025-09-18,Flex6,C,12,07:00,19:00
N005,2025-09-19,Flex6,A,12,07:00,19:00
N005,2025-09-20,PM,ICU,8,15:00,23:00
N005,2025-09-21,Flex4,C,7,12:00,19:00
N005,2025-09-22,PM,B,8,15:00,23:00
N005,2025-09-23,Flex6,ICU,12,07:00,19:00
N005,2025-09-24,Flex2,B,5,10:00,15:00
N005,2025-09-25,PM,B,8,15:00,23:00
N005,2025-09-26,Night,ICU,12,20:00,08:00
N005,2025-09-27,Flex2,A,5,10:00,15:00
N005,2025-09-28,PM,B,8,15:00,23:00
N005,2025-09-29,Flex2,C,5,10:00,15:00
N005,2025-09-30,AM,A,8,07:00,15:00
N005,2025-10-01,PM,ICU,8,15:00,23:00
N005,2025-10-02,Night,B,12,20:00,08:00
N005,2025-10-03,Flex6,C,12,07:00,19:00
N005,2025-10-04,Flex5,B,8,07:00,15:00
N005,2025-10-05,Flex5,ICU,8,07:00,15:00
N006,2025-09-08,AM,C,8,07:00,15:00
N006,2025-09-09,Flex4,A,7,12:00,19:00
N006,2025-09-10,PM,A,8,15:00,23:00
N006,2025-09-11,Flex2,A,5,10:00,15:00
N006,2025-09-12,Flex4,ICU,7,12:00,19:00
N006,2025-09-13,Night,C,12,20:00,08:00
N006,2025-09-14,Flex5,C,8,07:00,15:00
N006,2025-09-15,Night,C,12,20:00,08:00
N006,2025-09-16,Flex2,C,5,10:00,15:00
N006,2025-09-17,Flex1,B,4,07:00,11:00
N006,2025-09-18,Night,C,12,20:00,08:00
N006,2025-09-19,Flex2,ICU,5,10:00,15:00
N006,2025-09-20,Flex5,A,8,07:00,15:00
N006,2025-09-21,AM,A,8,07:00,15:00
N006,2025-09-22,PM,B,8,15:00,23:00
N006,2025-09-23,AM,C,8,07:00,15:00
N006,2025-09-24,AM,B,8,07:00,15:00
N006,2025-09-25,PM,ICU,8,15:00,23:00
N006,2025-09-26,Flex2,B,5,10:00,15:00
N006,2025-09-27,Flex3,A,6,09:00,15:00
N006,2025-09-28,Flex2,B,5,10:00,15:00
N006,2025-09-29,PM,C,8,15:00,23:00
N006,2025-09-30,Flex1,B,4,07:00,11:00
N006,2025-10-01,Night,A,12,20:00,08:00
N006,2025-10-02,Flex1,ICU,4,07:00,11:00
N006,2025-10-03,Flex3,C,6,09:00,15:00
N006,2025-10-04,Flex3,A,6,09:00,15:00
N006,2025-10-05,Flex2,C,5,10:00,15:00
N007,2025-09-08,Flex3,A,6,09:00,15:00
N007,2025-09-09,Flex5,A,8,07:00,15:00
N007,2025-09-10,Flex1,ICU,4,07:00,11:00
N007,2025-09-11,PM,B,8,15:00,23:00
N007,2025-09-12,Flex3,C,6,09:00,15:00
N007,2025-09-13,Flex3,B,6,09:00,15:00
N007,2025-09-14,PM,A,8,15:00,23:00
N007,2025-09-15,Flex5,A,8,07:00,15:00
N007,2025-09-16,Flex1,ICU,4,07:00,11:00
N007,2025-09-17,AM,ICU,8,07:00,15:00
N007,2025-09-18,AM,A,8,07:00,15:00
N007,2025-09-19,Flex1,A,4,07:00,11:00
N007,2025-09-20,PM,C,8,15:00,23:00
N007,2025-09-21,Flex4,B,7,12:00,19:00
N007,2025-09-22,Flex1,A,4,07:00,11:00
N007,2025-09-23,Flex3,A,6,09:00,15:00
N007,2025-09-24,Night,A,12,20:00,08:00
N007,2025-09-25,Flex4,B,7,12:00,19:00
N007,2025-09-26,Flex5,C,8,07:00,15:00
N007,2025-09-27,PM,B,8,15:00,23:00
N007,2025-09-28,Flex1,A,4,07:00,11:00
N007,2025-09-29,Flex4,A,7,12:00,19:00
N007,2025-09-30,Night,B,12,20:00,08:00
N007,2025-10-01,Flex2,A,5,10:00,15:00
N007,2025-10-02,Flex1,A,4,07:00,11:00
N007,2025-10-03,Flex6,ICU,12,07:00,19:00
N007,2025-10-04,Flex3,A,6,09:00,15:00
N007,2025-10-05,PM,A,8,15:00,23:00
N008,2025-09-08,Flex1,B,4,07:00,11:00
N008,2025-09-09,Flex1,C,4,07:00,11:00
N008,2025-09-10,Night,B,12,20:00,08:00
N008,2025-09-11,AM,ICU,8,07:00,15:00
N008,2025-09-12,Flex1,B,4,07:00,11:00
N008,2025-09-13,Night,A,12,20:00,08:00
N008,2025-09-14,Flex4,ICU,7,12:00,19:00
N008,2025-09-15,Flex4,A,7,12:00,19:00
N008,2025-09-16,Flex2,B,5,10:00,15:00
N008,2025-09-17,AM,ICU,8,07:00,15:00
N008,2025-09-18,Flex2,A,5,10:00,15:00
N008,2025-09-19,PM,C,8,15:00,23:00
N008,2025-09-20,Flex3,A,6,09:00,15:00
N008,2025-09-21,Flex4,ICU,7,12:00,19:00
N008,2025-09-22,Night,A,12,20:00,08:00
N008,2025-09-23,Flex6,A,12,07:00,19:00
N008,2025-09-24,Flex5,B,8,07:00,15:00
N008,2025-09-25,Flex5,B,8,07:00,15:00
N008,2025-09-26,Flex5,C,8,07:00,15:00
N008,2025-09-27,Flex1,ICU,4,07:00,11:00
N008,2025-09-28,Flex4,B,7,12:00,19:00
N008,2025-09-29,Flex4,ICU,7,12:00,19:00
N008,2025-09-30,Flex6,A,12,07:00,19:00
N008,2025-10-01,Flex3,B,6,09:00,15:00
N008,2025-10-02,PM,B,8,15:00,23:00
N008,2025-10-03,Night,A,12,20:00,08:00
N008,2025-10-04,PM,A,8,15:00,23:00
N008,2025-10-05,PM,B,8,15:00,23:00
N009,2025-09-08,AM,A,8,07:00,15:00
N009,2025-09-09,Flex1,ICU,4,07:00,11:00
N009,2025-09-10,Flex6,C,12,07:00,19:00
N009,2025-09-11,PM,B,8,15:00,23:00
N009,2025-09-12,Flex1,ICU,4,07:00,11:00
N009,2025-09-13,Flex1,B,4,07:00,11:00
N009,2025-09-14,Flex3,A,6,09:00,15:00
N009,2025-09-15,PM,B,8,15:00,23:00
N009,2025-09-16,Flex4,B,7,12:00,19:00
N009,2025-09-17,Flex3,ICU,6,09:00,15:00
N009,2025-09-18,AM,C,8,07:00,15:00
N009,2025-09-19,PM,ICU,8,15:00,23:00
N009,2025-09-20,Flex3,B,6,09:00,15:00
N009,2025-09-21,Flex6,B,12,07:00,19:00
N009,2025-09-22,Flex5,C,8,07:00,15:00
N009,2025-09-23,Flex6,B,12,07:00,19:00
N009,2025-09-24,Flex2,C,5,10:00,15:00
N009,2025-09-25,PM,B,8,15:00,23:00
N009,2025-09-26,Flex2,A,5,10:00,15:00
N009,2025-09-27,Flex6,ICU,12,07:00,19:00
N009,2025-09-28,Flex5,B,8,07:00,15:00
N009,2025-09-29,Flex2,ICU,5,10:00,15:00
N009,2025-09-30,PM,B,8,15:00,23:00
N009,2025-10-01,Flex5,ICU,8,07:00,15:00
N009,2025-10-02,AM,ICU,8,07:00,15:00
N009,2025-10-03,Flex2,ICU,5,10:00,15:00
N009,2025-10-04,Flex4,A,7,12:00,19:00
N009,2025-10-05,PM,ICU,8,15:00,23:00
N010,2025-09-08,PM,A,8,15:00,23:00
N010,2025-09-09,PM,B,8,15:00,23:00
N010,2025-09-10,AM,C,8,07:00,15:00
N010,2025-09-11,PM,ICU,8,15:00,23:00
N010,2025-09-12,Flex1,A,4,07:00,11:00
N010,2025-09-13,Flex5,A,8,07:00,15:00
N010,2025-09-14,Flex6,ICU,12,07:00,19:00
N010,2025-09-15,Flex1,A,4,07:00,11:00
N010,2025-09-16,Night,ICU,12,20:00,08:00
N010,2025-09-17,Flex2,B,5,10:00,15:00
N010,2025-09-18,Flex4,B,7,12:00,19:00
N010,2025-09-19,Flex1,ICU,4,07:00,11:00
N010,2025-09-20,Flex3,ICU,6,09:00,15:00
N010,2025-09-21,Night,C,12,20:00,08:00
N010,2025-09-22,Flex2,A,5,10:00,15:00
N010,2025-09-23,PM,ICU,8,15:00,23:00
N010,2025-09-24,Flex5,B,8,07:00,15:00
N010,2025-09-25,Flex5,A,8,07:00,15:00
N010,2025-09-26,Flex3,ICU,6,09:00,15:00
N010,2025-09-27,Flex3,C,6,09:00,15:00
N010,2025-09-28,Flex3,C,6,09:00,15:00
N010,2025-09-29,Flex2,C,5,10:00,15:00
N010,2025-09-30,Flex1,B,4,07:00,11:00
N010,2025-10-01,AM,C,8,07:00,15:00
N010,2025-10-02,Flex4,B,7,12:00,19:00
N010,2025-10-03,Flex2,ICU,5,10:00,15:00
N010,2025-10-04,Flex2,ICU,5,10:00,15:00
N010,2025-10-05,PM,C,8,15:00,23:00
N011,2025-09-08,Flex4,ICU,7,12:00,19:00
N011,2025-09-09,Flex6,ICU,12,07:00,19:00
N011,2025-09-10,PM,ICU,8,15:00,23:00
N011,2025-09-11,Flex3,ICU,6,09:00,15:00
N011,2025-09-12,Flex5,B,8,07:00,15:00
N011,2025-09-13,PM,ICU,8,15:00,23:00
N011,2025-09-14,Flex3,A,6,09:00,15:00
N011,2025-09-15,Flex3,B,6,09:00,15:00
N011,2025-09-16,Flex4,C,7,12:00,19:00
N011,2025-09-17,Night,C,12,20:00,08:00
N011,2025-09-18,Night,C,12,20:00,08:00
N011,2025-09-19,PM,C,8,15:00,23:00
N011,2025-09-20,Flex4,A,7,12:00,19:00
N011,2025-09-21,Night,C,12,20:00,08:00
N011,2025-09-22,PM,A,8,15:00,23:00
N011,2025-09-23,Flex3,C,6,09:00,15:00
N011,2025-09-24,Flex3,B,6,09:00,15:00
N011,2025-09-25,Flex3,C,6,09:00,15:00
N011,2025-09-26,Flex4,ICU,7,12:00,19:00
N011,2025-09-27,Night,A,12,20:00,08:00
N011,2025-09-28,Flex1,B,4,07:00,11:00
N011,2025-09-29,Flex5,A,8,07:00,15:00
N011,2025-09-30,PM,B,8,15:00,23:00
N011,2025-10-01,Flex4,B,7,12:00,19:00
N011,2025-10-02,Night,B,12,20:00,08:00
N011,2025-10-03,Flex1,B,4,07:00,11:00
N011,2025-10-04,Flex6,ICU,12,07:00,19:00
N011,2025-10-05,Flex1,C,4,07:00,11:00
N012,2025-09-08,Flex5,ICU,8,07:00,15:00
N012,2025-09-09,Flex6,ICU,12,07:00,19:00
N012,2025-09-10,AM,A,8,07:00,15:00
N012,2025-09-11,Flex3,C,6,09:00,15:00
N012,2025-09-12,Flex5,ICU,8,07:00,15:00
N012,2025-09-13,Flex2,B,5,10:00,15:00
N012,2025-09-14,Flex3,A,6,09:00,15:00
N012,2025-09-15,Flex1,C,4,07:00,11:00
N012,2025-09-16,PM,ICU,8,15:00,23:00
N012,2025-09-17,Flex2,B,5,10:00,15:00
N012,2025-09-18,Night,ICU,12,20:00,08:00
N012,2025-09-19,Flex2,ICU,5,10:00,15:00
N012,2025-09-20,Flex1,B,4,07:00,11:00
N012,2025-09-21,Flex2,ICU,5,10:00,15:00
N012,2025-09-22,Night,ICU,12,20:00,08:00
N012,2025-09-23,Flex4,ICU,7,12:00,19:00
N012,2025-09-24,AM,B,8,07:00,15:00
N012,2025-09-25,Flex2,A,5,10:00,15:00
N012,2025-09-26,Flex4,A,7,12:00,19:00
N012,2025-09-27,Flex1,C,4,07:00,11:00
N012,2025-09-28,Flex6,C,12,07:00,19:00
N012,2025-09-29,Flex6,B,12,07:00,19:00
N012,2025-09-30,Flex3,ICU,6,09:00,15:00
N012,2025-10-01,AM,ICU,8,07:00,15:00
N012,2025-10-02,Flex6,C,12,07:00,19:00
N012,2025-10-03,Flex4,C,7,12:00,19:00
N012,2025-10-04,Flex3,ICU,6,09:00,15:00
N012,2025-10-05,Flex3,B,6,09:00,15:00
N013,2025-09-08,Night,A,12,20:00,08:00
N013,2025-09-09,Flex4,ICU,7,12:00,19:00
N013,2025-09-10,AM,C,8,07:00,15:00
N013,2025-09-11,PM,A,8,15:00,23:00
N013,2025-09-12,AM,ICU,8,07:00,15:00
N013,2025-09-13,Flex5,A,8,07:00,15:00
N013,2025-09-14,Flex3,A,6,09:00,15:00
N013,2025-09-15,AM,C,8,07:00,15:00
N013,2025-09-16,Flex6,B,12,07:00,19:00
N013,2025-09-17,PM,ICU,8,15:00,23:00
N013,2025-09-18,Flex2,ICU,5,10:00,15:00
N013,2025-09-19,Flex4,A,7,12:00,19:00
N013,2025-09-20,Night,A,12,20:00,08:00
N013,2025-09-21,Flex1,A,4,07:00,11:00
N013,2025-09-22,Flex1,ICU,4,07:00,11:00
N013,2025-09-23,Flex1,ICU,4,07:00,11:00
N013,2025-09-24,Night,C,12,20:00,08:00
N013,2025-09-25,Flex3,A,6,09:00,15:00
N013,2025-09-26,Flex2,A,5,10:00,15:00
N013,2025-09-27,Flex6,C,12,07:00,19:00
N013,2025-09-28,Flex3,A,6,09:00,15:00
N013,2025-09-29,Flex1,ICU,4,07:00,11:00
N013,2025-09-30,Flex5,A,8,07:00,15:00
N013,2025-10-01,Flex4,C,7,12:00,19:00
N013,2025-10-02,PM,A,8,15:00,23:00
N013,2025-10-03,Flex2,A,5,10:00,15:00
N013,2025-10-04,Flex5,A,8,07:00,15:00
N013,2025-10-05,Flex1,B,4,07:00,11:00
N014,2025-09-08,Flex6,C,12,07:00,19:00
N014,2025-09-09,Flex1,B,4,07:00,11:00
N014,2025-09-10,Flex6,C,12,07:00,19:00
N014,2025-09-11,Flex3,ICU,6,09:00,15:00
N014,2025-09-12,Flex3,B,6,09:00,15:00
N014,2025-09-13,Flex1,B,4,07:00,11:00
N014,2025-09-14,Flex4,B,7,12:00,19:00
N014,2025-09-15,PM,A,8,15:00,23:00
N014,2025-09-16,Flex1,A,4,07:00,11:00
N014,2025-09-17,PM,ICU,8,15:00,23:00
N014,2025-09-18,Flex1,C,4,07:00,11:00
N014,2025-09-19,PM,ICU,8,15:00,23:00
N014,2025-09-20,Flex5,C,8,07:00,15:00
N014,2025-09-21,Flex6,B,12,07:00,19:00
N014,2025-09-22,Flex1,C,4,07:00,11:00
N014,2025-09-23,Night,ICU,12,20:00,08:00
N014,2025-09-24,Flex1,B,4,07:00,11:00
N014,2025-09-25,AM,B,8,07:00,15:00
N014,2025-09-26,AM,C,8,07:00,15:00
N014,2025-09-27,Flex1,C,4,07:00,11:00
N014,2025-09-28,Flex3,C,6,09:00,15:00
N014,2025-09-29,Night,B,12,20:00,08:00
N014,2025-09-30,Flex5,A,8,07:00,15:00
N014,2025-10-01,Flex6,B,12,07:00,19:00
N014,2025-10-02,Flex1,B,4,07:00,11:00
N014,2025-10-03,AM,ICU,8,07:00,15:00
N014,2025-10-04,Flex3,B,6,09:00,15:00
N014,2025-10-05,AM,ICU,8,07:00,15:00
N015,2025-09-08,Flex4,ICU,7,12:00,19:00
N015,2025-09-09,Night,A,12,20:00,08:00
N015,2025-09-10,Flex4,A,7,12:00,19:00
N015,2025-09-11,Night,A,12,20:00,08:00
N015,2025-09-12,AM,B,8,07:00,15:00
N015,2025-09-13,PM,ICU,8,15:00,23:00
N015,2025-09-14,Flex1,ICU,4,07:00,11:00
N015,2025-09-15,Flex6,ICU,12,07:00,19:00
N015,2025-09-16,Flex1,A,4,07:00,11:00
N015,2025-09-17,Flex3,B,6,09:00,15:00
N015,2025-09-18,Flex3,C,6,09:00,15:00
N015,2025-09-19,Flex4,A,7,12:00,19:00
N015,2025-09-20,Flex3,B,6,09:00,15:00
N015,2025-09-21,Night,A,12,20:00,08:00
N015,2025-09-22,Flex3,B,6,09:00,15:00
N015,2025-09-23,Flex4,B,7,12:00,19:00
N015,2025-09-24,Flex5,ICU,8,07:00,15:00
N015,2025-09-25,AM,B,8,07:00,15:00
N015,2025-09-26,Night,ICU,12,20:00,08:00
N015,2025-09-27,Flex1,B,4,07:00,11:00
N015,2025-09-28,PM,ICU,8,15:00,23:00
N015,2025-09-29,Flex6,C,12,07:00,19:00
N015,2025-09-30,AM,C,8,07:00,15:00
N015,2025-10-01,Flex4,A,7,12:00,19:00
N015,2025-10-02,PM,C,8,15:00,23:00
N015,2025-10-03,Flex1,B,4,07:00,11:00
N015,2025-10-04,Flex3,C,6,09:00,15:00
N015,2025-10-05,Flex1,A,4,07:00,11:00
N016,2025-09-08,Flex6,B,12,07:00,19:00
N016,2025-09-09,Night,ICU,12,20:00,08:00
N016,2025-09-10,AM,A,8,07:00,15:00
N016,2025-09-11,Night,C,12,20:00,08:00
N016,2025-09-12,Flex1,ICU,4,07:00,11:00
N016,2025-09-13,Flex1,C,4,07:00,11:00
N016,2025-09-14,Night,A,12,20:00,08:00
N016,2025-09-15,Night,ICU,12,20:00,08:00
N016,2025-09-16,AM,ICU,8,07:00,15:00
N016,2025-09-17,Flex1,ICU,4,07:00,11:00
N016,2025-09-18,AM,ICU,8,07:00,15:00
N016,2025-09-19,AM,C,8,07:00,15:00
N016,2025-09-20,Night,A,12,20:00,08:00
N016,2025-09-21,Flex5,B,8,07:00,15:00
N016,2025-09-22,Night,C,12,20:00,08:00
N016,2025-09-23,Night,A,12,20:00,08:00
N016,2025-09-24,PM,B,8,15:00,23:00
N016,2025-09-25,Flex3,ICU,6,09:00,15:00
N016,2025-09-26,Flex1,ICU,4,07:00,11:00
N016,2025-09-27,Flex5,B,8,07:00,15:00
N016,2025-09-28,AM,B,8,07:00,15:00
N016,2025-09-29,PM,B,8,15:00,23:00
N016,2025-09-30,Flex6,A,12,07:00,19:00
N016,2025-10-01,Flex1,B,4,07:00,11:00
N016,2025-10-02,Flex2,ICU,5,10:00,15:00
N016,2025-10-03,Flex2,ICU,5,10:00,15:00
N016,2025-10-04,Night,C,12,20:00,08:00
N016,2025-10-05,Flex3,ICU,6,09:00,15:00
N017,2025-09-08,Flex4,C,7,12:00,19:00
N017,2025-09-09,Night,A,12,20:00,08:00
N017,2025-09-10,PM,ICU,8,15:00,23:00
N017,2025-09-11,Flex4,A,7,12:00,19:00
N017,2025-09-12,Night,ICU,12,20:00,08:00
N017,2025-09-13,Flex2,B,5,10:00,15:00
N017,2025-09-14,Flex2,B,5,10:00,15:00
N017,2025-09-15,AM,ICU,8,07:00,15:00
N017,2025-09-16,Flex1,ICU,4,07:00,11:00
N017,2025-09-17,Flex2,A,5,10:00,15:00
N017,2025-09-18,Flex3,C,6,09:00,15:00
N017,2025-09-19,AM,C,8,07:00,15:00
N017,2025-09-20,Night,A,12,20:00,08:00
N017,2025-09-21,Flex3,C,6,09:00,15:00
N017,2025-09-22,Flex3,ICU,6,09:00,15:00
N017,2025-09-23,Flex1,A,4,07:00,11:00
N017,2025-09-24,Flex2,A,5,10:00,15:00
N017,2025-09-25,Flex6,C,12,07:00,19:00
N017,2025-09-26,Night,A,12,20:00,08:00
N017,2025-09-27,AM,A,8,07:00,15:00
N017,2025-09-28,Flex4,A,7,12:00,19:00
N017,2025-09-29,Flex6,A,12,07:00,19:00
N017,2025-09-30,Night,C,12,20:00,08:00
N017,2025-10-01,Flex1,C,4,07:00,11:00
N017,2025-10-02,Flex2,C,5,10:00,15:00
N017,2025-10-03,Flex6,ICU,12,07:00,19:00
N017,2025-10-04,Flex2,ICU,5,10:00,15:00
N017,2025-10-05,Night,B,12,20:00,08:00
N018,2025-09-08,Night,A,12,20:00,08:00
N018,2025-09-09,Flex6,C,12,07:00,19:00
N018,2025-09-10,AM,C,8,07:00,15:00
N018,2025-09-11,Flex4,ICU,7,12:00,19:00
N018,2025-09-12,Flex4,C,7,12:00,19:00
N018,2025-09-13,Flex5,A,8,07:00,15:00
N018,2025-09-14,Flex5,B,8,07:00,15:00
N018,2025-09-15,Flex1,B,4,07:00,11:00
N018,2025-09-16,Flex5,B,8,07:00,15:00
N018,2025-09-17,Flex6,C,12,07:00,19:00
N018,2025-09-18,Night,B,12,20:00,08:00
N018,2025-09-19,PM,C,8,15:00,23:00
N018,2025-09-20,AM,A,8,07:00,15:00
N018,2025-09-21,Flex1,C,4,07:00,11:00
N018,2025-09-22,Flex2,B,5,10:00,15:00
N018,2025-09-23,Flex4,ICU,7,12:00,19:00
N018,2025-09-24,Flex5,A,8,07:00,15:00
N018,2025-09-25,Night,ICU,12,20:00,08:00
N018,2025-09-26,Flex1,B,4,07:00,11:00
N018,2025-09-27,Flex4,A,7,12:00,19:00
N018,2025-09-28,Flex2,A,5,10:00,15:00
N018,2025-09-29,Flex3,B,6,09:00,15:00
N018,2025-09-30,Flex6,B,12,07:00,19:00
N018,2025-10-01,Flex3,B,6,09:00,15:00
N018,2025-10-02,Flex5,B,8,07:00,15:00
N018,2025-10-03,AM,C,8,07:00,15:00
N018,2025-10-04,Flex4,ICU,7,12:00,19:00
N018,2025-10-05,Flex1,A,4,07:00,11:00
N019,2025-09-08,Flex2,B,5,10:00,15:00
N019,2025-09-09,Flex6,B,12,07:00,19:00
N019,2025-09-10,Night,C,12,20:00,08:00
N019,2025-09-11,AM,ICU,8,07:00,15:00
N019,2025-09-12,AM,A,8,07:00,15:00
N019,2025-09-13,Flex4,ICU,7,12:00,19:00
N019,2025-09-14,Flex5,B,8,07:00,15:00
N019,2025-09-15,Night,A,12,20:00,08:00
N019,2025-09-16,PM,ICU,8,15:00,23:00
N019,2025-09-17,AM,ICU,8,07:00,15:00
N019,2025-09-18,Flex3,B,6,09:00,15:00
N019,2025-09-19,AM,B,8,07:00,15:00
N019,2025-09-20,Flex5,B,8,07:00,15:00
N019,2025-09-21,Flex1,ICU,4,07:00,11:00
N019,2025-09-22,Flex6,A,12,07:00,19:00
